Mordovian,5.3,6.04,0.1,0.41,18.32,55.71,0.83,0.08,1.18,1.61,10.37,0.04
Morocco_Jews,5.41,0.00,9.51,0.00,27.33,4.30,0.50,1.10,17.02,0.00,34.03,0.80
Naga,0.00,5.71,0.00,17.82,0.00,0.00,3.60,0.00,0.00,72.87,0.00,0.00
Nanai,0.04,43.22,0.01,2.18,0.01,0.00,0.14,0.05,0.01,54.33,0.00,0.02
Naxi,0.00,4.80,0.00,28.10,0.00,0.00,2.90,0.00,0.00,64.20,0.00,0.00
Negidal,0.00,47.22,0.01,1.13,0.00,0.00,0.05,0.04,0.01,51.46,0.00,0.07
Nepali_Gurung,3.76,9.38,0.08,16.33,0.05,0.25,13.91,0.15,0.00,55.76,0.10,0.22
Nepali_Khas_Brahmin,33.77,1.82,0.09,1.36,2.51,13.64,35.36,0.05,0.50,4.13,6.71,0.05
Nepali_Khas_Kshatriya,27.02,3.62,0.07,5.35,1.22,9.01,33.23,0.07,0.71,16.00,3.66,0.04
Nepali_Kirant_Rai,1.06,9.20,0.00,18.58,0.00,0.06,7.66,0.02,0.00,62.67,0.22,0.54
